0	21	1	-1	0
1	22	0	0	1
2	23	0	1	2
3	24	0	2	3
4	25	0	3	4
5	26	0	4	5
6	27	0	5	6
7	28	0	6	7
8	29	0	7	8
9	30	0	8	9
10	31	0	9	10
11	32	0	10	11
12	33	0	11	12
13	34	0	12	13
14	35	0	13	14
15	36	0	14	15
16	37	0	15	16
17	38	0	16	17
18	39	0	17	18
19	40	0	18	19
20	41	2	19	-1
1	0	1	-1	0
2	1	1	-1	1
3	2	1	-1	2
4	3	1	-1	3
5	4	1	-1	4
6	5	1	-1	5
7	6	1	-1	6
8	7	1	-1	7
9	8	1	-1	8
10	9	1	-1	9
11	10	1	-1	10
12	11	1	-1	11
13	12	1	-1	12
14	13	1	-1	13
15	14	1	-1	14
16	15	1	-1	15
17	16	1	-1	16
18	17	1	-1	17
19	18	1	-1	18
20	19	1	-1	19
22	21	1	0	-1
23	22	1	1	-1
24	23	1	2	-1
25	24	1	3	-1
26	25	1	4	-1
27	26	1	5	-1
28	27	1	6	-1
29	28	1	7	-1
30	29	1	8	-1
31	30	1	9	-1
32	31	1	10	-1
33	32	1	11	-1
34	33	1	12	-1
35	34	1	13	-1
36	35	1	14	-1
37	36	1	15	-1
38	37	1	16	-1
39	38	1	17	-1
40	39	1	18	-1
41	40	1	19	-1
